ticker,sector,industry,index
GIS,Consumer Staples,Packaged Foods & Meats,sp500
GM,Consumer Discretionary,Automobile Manufacturers,sp500
GPC,Consumer Discretionary,Distributors,sp500
GILD,Health Care,Biotechnology,sp500
GPN,Financials,Transaction & Payment Processing Services,sp500
GL,Financials,Life & Health Insurance,sp500
GDDY,Information Technology,Internet Services & Infrastructure,sp500
GS,Financials,Investment Banking & Brokerage,sp500
HAL,Energy,Oil & Gas Equipment & Services,sp500
HIG,Financials,Property & Casualty Insurance,sp500
HAS,Consumer Discretionary,Leisure Products,sp500
HCA,Health Care,Health Care Facilities,sp500
DOC,Real Estate,Health Care REITs,sp500
HSIC,Health Care,Health Care Distributors,sp500
HSY,Consumer Staples,Packaged Foods & Meats,sp500
HPE,Information Technology,"Technology Hardware, Storage & Peripherals",sp500
HLT,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",sp500
HD,Consumer Discretionary,Home Improvement Retail,sp500
HON,Industrials,Industrial Conglomerates,sp500
HRL,Consumer Staples,Packaged Foods & Meats,sp500
HST,Real Estate,Hotel & Resort REITs,sp500
HWM,Industrials,Aerospace & Defense,sp500
HPQ,Information Technology,"Technology Hardware, Storage & Peripherals",sp500
HUBB,Industrials,Industrial Machinery & Supplies & Components,sp500
HUM,Health Care,Managed Health Care,sp500
HBAN,Financials,Regional Banks,sp500
HII,Industrials,Aerospace & Defense,sp500
IBM,Information Technology,IT Consulting & Other Services,sp500
IEX,Industrials,Industrial Machinery & Supplies & Components,sp500
IDXX,Health Care,Health Care Equipment,sp500
ITW,Industrials,Industrial Machinery & Supplies & Components,sp500
INCY,Health Care,Biotechnology,sp500
IR,Industrials,Industrial Machinery & Supplies & Components,sp500
PODD,Health Care,Health Care Equipment,sp500
INTC,Information Technology,Semiconductors,sp500
IBKR,Financials,Investment Banking & Brokerage,sp500
ICE,Financials,Financial Exchanges & Data,sp500
IFF,Materials,Specialty Chemicals,sp500
IP,Materials,Paper & Plastic Packaging Products & Materials,sp500
INTU,Information Technology,Application Software,sp500
ISRG,Health Care,Health Care Equipment,sp500
IVZ,Financials,Asset Management & Custody Banks,sp500
INVH,Real Estate,Single-Family Residential REITs,sp500
IQV,Health Care,Life Sciences Tools & Services,sp500
IRM,Real Estate,Other Specialized REITs,sp500
JBHT,Industrials,Cargo Ground Transportation,sp500
JBL,Information Technology,Electronic Manufacturing Services,sp500
JKHY,Financials,Transaction & Payment Processing Services,sp500
J,Industrials,Construction & Engineering,sp500
JNJ,Health Care,Pharmaceuticals,sp500
JCI,Industrials,Building Products,sp500
JPM,Financials,Diversified Banks,sp500
KVUE,Consumer Staples,Personal Care Products,sp500
KDP,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,sp500
KEY,Financials,Regional Banks,sp500
KEYS,Information Technology,Electronic Equipment & Instruments,sp500
KMB,Consumer Staples,Household Products,sp500
KIM,Real Estate,Retail REITs,sp500
KMI,Energy,Oil & Gas Storage & Transportation,sp500
KKR,Financials,Asset Management & Custody Banks,sp500
